title,link,snippet
【科技成果转化服务手册】第一章科技成果转化政策解读_部门解读_ ...,https://stcsm.sh.gov.cn/zwgk/kjzc/zcjd/bmjd/20241113/6458b51df3cc47919eb7336732b94e5d.html,"Nov 13, 2024 ... 需要提出的是，对于危害国家安全、损害国家利益或社会公共利益、违反国家产业政策、国家明令禁止使用或已经限期淘汰等科技成果，不得实施转化活动。涉及国家 ..."
中华人民共和国促进科技成果转化法（2015年修订）-中华人民共和国 ...,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/fgzc/flfg/201512/t20151204_122621.html,"Aug 31, 2015 ... 科技成果完成人或者课题负责人，不得阻碍职务科技成果的转化，不得将职务科技成果及其技术资料和数据占为己有，侵犯单位的合法权益。"
国务院关于印发实施《中华人民共和国促进科技成果转化法》若干 ...,https://www.gov.cn/zhengce/content/2016-03/02/content_5048192.htm,"Mar 2, 2016 ... 依法对职务科技成果完成人和为成果转化作出重要贡献的其他人员给予奖励时，按照以下规定执行： 1.以技术转让或者许可方式转化职务科技成果的，应当从技术转让 ..."
中华人民共和国促进科技成果转化法- 中华人民共和国科学技术部,https://www.most.gov.cn/ztzl/jqzzcx/zzcxcxzzo/zzcxcxzz/zzcxgncxzz/200512/t20051230_27320.html,第二十一条 国家财政用于科学技术、固定资产投资和技术改造的经费，应当有一定比例用于科技成果转化。科技成果转化的国家财政经费，主要用于科技成果转化的引导资金、贷款 ...
河南省促进科技成果转化条例_河南科学技术厅,https://kjt.henan.gov.cn/2020/08-05/1751217.html,"Aug 5, 2020 ... 第四十四条国家设立的研究开发机构、高等院校等事业单位的正职领导，是科技成果的主要完成人或者为成果转移转化做出重要贡献的，经集体研究通过并公示后， ..."
山东省科学技术厅政策解读政策解读| 《深化科技成果转化机制改革 ...,http://kjt.shandong.gov.cn/art/2025/4/3/art_103586_10318796.html,"Apr 3, 2025 ... 为贯彻党的二十大和二十届二中、三中全会精神，进一步深化科技成果转化机制改革，全面激发人才创新创业活力，着力解决科技成果不敢转、不愿转、不会转、 ..."
广东省科学技术厅广东省教育厅印发《广东省高校和科研事业单位 ...,http://gdstc.gd.gov.cn/zwgk_n/tzgg/content/post_4484509.html,"Aug 28, 2024 ... 粤科规范字〔2024〕1号. 各地级以上市科技局、教育局，各有关单位：. 经省人民政府同意，现将《广东省高校和科研事业单位职务科技成果转化尽职免责认定 ..."
山东省科学技术厅政策发布关于印发《深化科技成果转化机制改革 ...,http://kjt.shandong.gov.cn/art/2025/4/3/art_103585_10318795.html,"Apr 3, 2025 ... 充分赋予试点单位科技成果管理自主权，创新职务科技成果资产管理方式，建立健全区别于一般国有资产的职务科技成果资产管理模式。加强内部工作协同，对职务 ..."
关于印发《国家科技成果转化引导基金管理暂行办法》的通知,http://jkw.mof.gov.cn/zhengcefabu/202111/t20211119_3767425.htm,"Nov 23, 2021 ... 为贯彻落实《中华人民共和国促进科技成果转化法》，加快实施创新驱动发展战略，加速推动科技成果转化与应用，根据国家有关法律法规和财政管理规定，我们对《 ..."
北京市促进科技成果转化条例_地方性法规_首都之窗_北京市人民政府 ...,https://www.beijing.gov.cn/zhengce/dfxfg/201912/t20191205_868149.html,"Nov 27, 2019 ... 为了促进科技成果转化，规范科技成果转化活动，实施创新驱动发展战略，加快建设具有全球影响力的全国科技创新中心，推动经济高质量发展和社会进步， ..."
国务院关于印发“十四五”国家知识产权保护和运用规划的通知_知识 ...,https://www.gov.cn/zhengce/content/2021-10/28/content_5647274.htm,"Oct 28, 2021 ... 五年来，各地区、各有关部门深入实施《“十三五”国家知识产权保护和运用规划》，持续推进知识产权战略实施，知识产权创造能力稳步提高，国内每万人口发明专利 ..."
国家知识产权局知识产权保护,https://www.cnipa.gov.cn/col/col2430/index.html,数据统计. 2025年2月各省（区、市）专利侵权纠纷行政案件数据统计2025-03-25 ; 调查评估 · 2023年知识产权保护社会满意度调查报告2024-10-09 ...
上海市知识产权保护中心,https://ippc.sipa.sh.gov.cn/,上海市知识产权保护中心（上海市知识产权发展研究中心），简称上海保护中心.
国家知识产权局白皮书2023年中国知识产权保护状况,https://www.cnipa.gov.cn/art/2024/4/30/art_91_192134.html,"Apr 30, 2024 ... 二〇二三年中国知识产权保护状况.pdf."
高等学校知识产权保护管理规定- 中华人民共和国教育部政府门户网站,http://www.moe.gov.cn/srcsite/A02/s5911/moe_621/199904/t19990408_81867.html,"Apr 8, 1999 ... 高等学校知识产权保护管理规定 ... 第一条为有效保护高等学校知识产权，鼓励广大教职员工和学生发明创造和智力创作的积极性，发挥高等学校的智力优势，促进科技 ..."
关于加强与科技有关的知识产权保护和管理工作的若干意见,http://sanfrancisco.china-consulate.gov.cn/chn/kj/wjfg/200112/t20011201_10390231.htm,"Dec 1, 2001 ... 一、加强与科技有关的知识产权保护和管理，是促进科研机构和高新技术企业进行体制创新和技术创新的主要途径和重要保证。 1.充分认识知识产权制度的重要性， ..."
附件： - 政府会计准则第5 号——公共基础设施,https://czt.ln.gov.cn/czt/lnhjw/tztg/E815A4813F0A44EDAA00722BD2601DD3/P020170516405939137425.pdf,第二条本准则所称公共基础设施，是指政府会计主体. 为满足社会公共需求而控制的，同时具有以下特征的有形. 资产：. （一）是一个有形资产系统或网络的组成部分；.
为知识产权保护提供有力法治保障_滚动新闻_中国政府网,http://www.gov.cn/xinwen/2021-04/24/content_5601768.htm,"Apr 24, 2021 ... 为知识产权保护提供有力法治保障 公安机关对侵犯知识产权犯罪发起新一轮凌厉攻势. “'十三五'期间，全国公安机关共侦破侵犯知识产权和制售伪劣商品犯罪 ..."
广东省人民政府关于印发《广东省知识产权保护和运用“十四五”规划 ...,http://www.gd.gov.cn/zwgk/wjk/qbwj/yf/content/post_3900131.html,"Mar 31, 2022 ... 广东省人民政府关于印发《广东省知识产权保护. 和运用“十四五”规划》的通知. 粤府〔2021〕87号. 各地级以上市人民政府，省政府各部门、各直属机构：."
浙江省知识产权保护中心2024年公开招聘公告,https://rlsbt.zj.gov.cn/art/2024/1/31/art_1229743683_58937362.html,"Jan 31, 2024 ... 丽水市 · 一、招聘单位. 浙江省知识产权保护中心办公地点在杭州市区，公益一类事业单位，机构规格均为正处级，经费形式为财政全额补助。 · 二、招聘岗位、 ..."
发展新质生产力是推动高质量发展的内在要求和重要着力点- 求是网,http://czj.jiaozuo.gov.cn/article/21350.html,"May 31, 2024 ... 发展新质生产力是推动高质量发展的内在要求和重要着力点 · 发展新质生产力是推动高质量发展的内在要求和重要着力点 · 第一，大力推进科技创新。新质生产力 ..."
【【专家观点】加快形成新质生产力：是什么、为什么、做什么 ...,https://www.ndrc.gov.cn/wsdwhfz/202402/t20240206_1363980.html,"Feb 6, 2024 ... 先进科技是新质生产力生成的内在动力。一是要加大基础研究领域投入，要持续加强基础研究攻关和前沿技术研发，全面提升包括基础零部件（元器件）、基础材料、 ..."
国务院关于印发新一代人工智能发展规划的通知_科技_中国政府网,https://www.gov.cn/zhengce/content/2017-07/20/content_5211996.htm,"Jul 20, 2017 ... 利用现有政府投资基金支持符合条件的人工智能项目，鼓励龙头骨干企业、产业创新联盟牵头成立市场化的人工智能发展基金。利用天使投资、风险投资、创业投资 ..."
【新质生产力的内涵特征和发展重点（深入学习贯彻习近平新时代 ...,https://www.ndrc.gov.cn/wsdwhfz/202403/t20240301_1364322.html,"Mar 1, 2024 ... 新质生产力代表先进生产力的演进方向，是由技术革命性突破、生产要素创新性配置、产业深度转型升级而催生的先进生产力质态。新质生产力以劳动者、劳动资料 ..."
党的二十大代表热议——加快实施创新驱动发展战略_滚动新闻_中国 ...,https://www.gov.cn/xinwen/2022-10/22/content_5720797.htm,"Oct 22, 2022 ... 党的二十大代表热议——加快实施创新驱动发展战略 ... 科技兴则民族兴，人才强则国家强。 习近平总书记在党的二十大报告中指出：“必须坚持科技是第一生产力、 ..."
教育部关于印发《高等学校人工智能创新行动计划》的通知- 中华人民 ...,http://www.moe.gov.cn/srcsite/A16/s7062/201804/t20180410_332722.html?eqid=b992307e00003f7d000000066498ffc3,"Apr 10, 2018 ... 教育部关于印发《高等学校人工智能创新行动计划》的通知 · 1.加快人工智能领域学科建设。支持高校在计算机科学与技术学科设置人工智能学科方向，深入论证并 ..."
中共中央国务院印发《国家创新驱动发展战略纲要》_中央有关文件_ ...,https://www.gov.cn/zhengce/2016-05/19/content_5074812.htm,"May 19, 2016 ... 党的十八大提出实施创新驱动发展战略，强调科技创新是提高社会生产力和综合国力的战略支撑，必须摆在国家发展全局的核心位置。这是中央在新的发展阶段确立的 ..."
生成式人工智能服务管理暂行办法_中央网络安全和信息化委员会办公室,https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm,"Jul 13, 2023 ... 生成式人工智能服务管理暂行办法 · 第二条利用生成式人工智能技术向中华人民共和国境内公众提供生成文本、图片、音频、视频等内容的服务（以下称生成式人工 ..."
教育部举办人工智能校长局长专题培训班- 中华人民共和国教育部政府 ...,http://www.moe.gov.cn/jyb_xwfb/gzdt_gzdt/moe_1485/202504/t20250426_1188761.html,"Apr 26, 2025 ... 为落实国家教育数字化战略，全面提升中小学书记校长、地方教育局长的人工智能领导力，近日，教育部举办人工智能校长局长专题培训班。教育部党组书记、 ..."
耿爽大使在人工智能第二次非正式磋商会议上的发言_中华人民共和国 ...,http://un.china-mission.gov.cn/hyyfy/202502/t20250220_11559086.htm,"Feb 19, 2025 ... 两机制应坚持发展导向，重视发展中国家需求，积极推动人工智能赋能农业、制造业、教育、医疗等各个领域，助力落实2030议程。应坚持技术发展与风险防范并重，一 ..."
学位授予和人才培养学科目录（2018年4月更新） - 中华人民共和国 ...,http://www.moe.gov.cn/jyb_sjzl/ziliao/A22/201804/t20180419_333655.html,学位授予和人才培养学科目录（2018年4月更新）. 2018-04-19 来源：研究生司收藏. 附件下载：学位授予和人才培养学科目录（2018年4月更新）. 扫描分享 扫一扫分享本页.
人社部：加强新职业人才培养_滚动新闻_中国政府网,https://www.gov.cn/xinwen/2021-05/07/content_5604961.htm,"May 7, 2021 ... 为加快培养高素质劳动者和技术技能人才，改善新职业人才供给质量结构，支持战略性新兴产业发展，近日，人社部印发《关于加强新职业培训工作的通知》。"
关于印发《学位授予和人才培养学科目录（2011年）》的通知- 中华 ...,http://www.moe.gov.cn/srcsite/A22/moe_833/moe_834/201103/t20110308_116439.html,"Mar 8, 2011 ... 关于印发《学位授予和人才培养学科目录（2011年）》的通知 · 一、已有博士、硕士学位授权点应按新目录进行对应调整，具体办法另行通知。 · 二、自印发之日起， ..."
舒惠好出席全国高端会计人才培养项目毕业活动,https://www.mof.gov.cn/zhengwuxinxi/tupianxinwen1/202412/t20241211_3949336.htm,"Dec 10, 2024 ... 2024年12月11日 来源：会计司. 2024年12月4日，全国高端会计人才培养项目毕业活动在北京国家会计学院举行。财政部党组成员、部长助理舒惠好出席活动并 ..."
教育部关于加快建设高水平本科教育全面提高人才培养能力的意见 ...,http://www.moe.gov.cn/srcsite/A08/s7056/201810/t20181017_351887.html,"Oct 17, 2018 ... 深化高校本科专业供给侧改革，建立健全专业动态调整机制，做好存量升级、增量优化、余量消减。主动布局集成电路、人工智能、云计算、大数据、网络空间安全、 ..."
文化和旅游部办公厅关于开展2025年“全国魔术领军人才培养计划 ...,https://zwgk.mct.gov.cn/zfxxgkml/wysy/202502/t20250207_958274.html,"Feb 7, 2025 ... 文化和旅游部办公厅关于开展2025年. “全国魔术领军人才培养计划”. 申报工作的通知 ... 具有中国国籍，年龄在25岁至45岁之间，从事一线演出5年以上，具有较高 ..."
市人社局关于印发《天津市高技能人才培训基地建设项目管理办法 ...,https://hrss.tj.gov.cn/jsdw/zyjnjdzx/jddt/202208/t20220803_5949756.html,"Jun 24, 2022 ... ... 人才培养实施细则〉等五个文件的通知》（津人才办〔2019〕6号）等规定，制定本办法。 第二条 本办法所称天津市高技能人才培训基地建设项目（以下简称 ..."
云南大学人才培养经费使用流程-云南大学党委教师工作部·人事处·人才 ...,http://www.rsc.ynu.edu.cn.http.80.37222e7664.ipv6.bozhou.gov.cn/info/1003/2827.htm,发布时间: 2018年10月10日阅读次数：1874. 1、办理支出报销，请登录“云南大学网络财务报账系统”，依次选择“经费使用”、“我要报账”、“专项经费”，按要求填写完成后， ...
文化和旅游部办公厅关于印发《国家旅游人才培训基地管理办法 ...,https://zwgk.mct.gov.cn/zfxxgkml/zcfg/gfxwj/202012/t20201204_906331.html,"May 29, 2018 ... 为贯彻落实《“十三五”旅游人才发展规划纲要》，推进国家旅游人才培训基地建设，规范国家旅游人才培训基地运行管理，现将《国家旅游人才培训基地管理办法》（ ..."
2025年浙江省技工院校工学一体化技能人才培养模式优质课堂名单公示,https://rlsbt.zj.gov.cn/art/2025/3/18/art_1229116948_58940920.html,"Mar 18, 2025 ... 根据《人力资源社会保障部办公厅关于开展技工院校工学一体化技能人才培养模式优质课堂遴选工作的通知》（人社厅函〔2024〕190号）和《浙江省人力资源和 ..."
小型模块化反应堆发展现状与趋势_国家核安全局,https://nnsa.mee.gov.cn/ztzl/haqshmhsh/haqrdmyyt/202405/202401/t20240123_1064446.html,"May 30, 2024 ... （1）我国在陆上小型模块化反应堆部署方面领先全球，工程建设进展良好。我国的“玲龙一号”反应堆是全球首个通过国际原子能机构官方审查的三代轻水SMR，也是全球 ..."
我国构建全球首个星地量子通信网_滚动新闻_中国政府网,https://www.gov.cn/xinwen/2021-01/08/content_5577894.htm,"Jan 8, 2021 ... 我国构建全球首个星地量子通信网 ... 中国科学技术大学1月7日宣布，中国科研团队成功实现了跨越4600公里的星地量子密钥分发，此举标志着我国已成功构建出天地 ..."
发展量子通信为何要上天？-新华网,http://www.xinhuanet.com/tech/20230627/faa8dd23a9d24eda80abc2966b0dc82d/c.html,"Jun 27, 2023 ... “量子具有不可克隆原理，因此单光子量子信息不能像经典通信那样被放大。一旦传输距离较远，损耗问题就会变得极其严重。”廖胜凯指出，“根据数据测算，通过1200 ..."
量子通信与量子计算等研究取得突破----中科院2020年年度两类亮点 ...,https://www.cas.cn/zt/kjzt/2020ndldsx/kjcx/202101/t20210107_4773879.html,"Jan 7, 2021 ... 完成单位：中国科学技术大学、中国科学院上海技术物理研究所、微小卫星创新研究院、光电技术研究所、上海微系统与信息技术研究所、精密测量科学与技术 ..."
量子通信实现新突破多家龙头企业抢占新赛道-新华网,http://www.xinhuanet.com/20250324/4ef30d62e4264352bd2cd42fd6773f68/c.html,"Mar 24, 2025 ... 业界认为，作为最有可能率先实现商业化的量子科技应用领域，量子通信有望成为国家信息安全和新基建的重要支柱，期待更多政策加码助力。 为量子卫星通信组网铺 ..."
通往未来“造物时代”的合成生物学，有哪些用？一文看懂,https://stcsm.sh.gov.cn/xwzx/kjzl/20230712/52b053d56baa487c96cd2877ad6ab1d3.html,"Jul 12, 2023 ... 上世纪50年代DNA双螺旋结构发现后，遗传密码的破译、限制性内切酶的发现、PCR技术的发明等一系列重大分子生物学成就，催生了基因工程技术，也正式开启了合成 ..."
教育部关于合成生物学前沿科学中心立项建设的通知- 中华人民共和国 ...,http://www.moe.gov.cn/srcsite/A16/s3336/201810/t20181025_352692.html,"Oct 25, 2018 ... 一是完善建设规划，根据建设目标，认真研究吸纳专家组意见，进一步完善建设规划，明确建设任务，创新建设模式和实现路径。二是落实政策保障，强化主体建设责任， ..."
省科技厅关于组织申报量子通信与量子计算机国家科技重大专项公开 ...,https://kjt.hubei.gov.cn/kjdt/tzgg/202409/t20240914_5337966.shtml,"Sep 14, 2024 ... 省科技厅关于组织申报量子通信与量子计算机国家科技重大专项公开竞争类项目2024年度公开项目的通知 ... 1．各申报单位需严格按照申报通知中申报指南、工作 ..."
合成生物学，属于未来的“天工开物”----中国科学院,https://www.cas.cn/zjs/202305/t20230525_4889800.shtml,"May 25, 2023 ... 尼龙是生活中常见的材料，但传统的化学合成方式会产生大量的温室气体，消耗大量的水和能源。如今，利用合成生物技术，能实现生物基尼龙的发酵合成，大大降低了 ..."
2024上海合成生物学创新峰会召开,https://stcsm.sh.gov.cn/xwzx/gzdt/20240415/757f9bcd1ff0496483f0ff13074aeb86.html,"Apr 15, 2024 ... 本次峰会汇聚了国内外合成生物学领域的顶尖科学家，企业家等产业菁英，共同研讨了合成生物学的前沿技术、成果转化以及产业发展。通过促进合成生物学领域科技 ..."
国务院关于印发国家技术转移体系建设方案的通知_科技_中国政府网,https://www.gov.cn/zhengce/content/2017-09/26/content_5227667.htm,"Sep 26, 2017 ... 加强技术转移人才培养。发挥企业、高校、科研院所等作用，通过项目、基地、教学合作等多种载体和形式吸引海外高层次技术转移人才和团队。鼓励有条件的高校 ..."
关于对《新药技术转让注册管理规定（征求意见稿）》征求意见的通知,https://www.nmpa.gov.cn/xxgk/zhqyj/zhqyjyp/20071109000001731.html?type=pc&m=,"Nov 9, 2007 ... 各有关单位：. 根据《药品注册管理办法》，我司组织起草了《新药技术转让注册管理规定》，现予上网公开征求意见。 一、请局相关司室、直属单位和各省、 ..."
推动高端装备制造业创新发展－国务院国有资产监督管理委员会,http://www.sasac.gov.cn/n2588025/n2588134/c20550040/content.html,"Sep 3, 2021 ... 推动高端装备制造业创新发展 ... 习近平总书记指出：“科技创新成为国际战略博弈的主要战场，围绕科技制高点的竞争空前激烈。我们必须保持强烈的忧患意识，做好 ..."
关于对《新药技术转让注册管理规定（征求意见稿）》征求意见的通知,https://www.nmpa.gov.cn/xxgk/zhqyj/zhqyjyp/20071109000001731_1.html?type=pc&m=,"Nov 9, 2007 ... 第六条新药技术转让注册申请，适用于境内生产的新药以及《药品注册管理办法》规定的靶向、缓释、控释等特殊剂型药物，包括下列情形的申请： （一）已获得《新药 ..."
杭州市人民政府办公厅关于印发加快推进高端装备制造业高质量发展 ...,https://www.hangzhou.gov.cn/art/2023/7/28/art_1229063382_1836282.html,"Jul 25, 2023 ... 优化完善企业梯度培育机制，积极鼓励行业龙头企业发挥“链主”带动作用，打造良好产业生态。 本措施自2023年8月27日起施行，有效期至2025年12月31日，由市经信局 ..."
深圳市科技创新战略研究和技术转移促进中心公开选聘事业编制工作 ...,https://stic.sz.gov.cn/xxgk/rsxx/content/post_9802350.html,深圳市科技创新战略研究和技术转移促进中心公开选聘事业编制工作人员公告. 信息来源：深圳市科技创新委员会 发布时间：2022-05-20 A-A+ 视力保护色：. 深圳市科技创新战略 ...
关于《加快推进高端装备制造业高质量发展的若干措施》的图文政策 ...,https://www.hangzhou.gov.cn/art/2023/7/28/art_1229063386_1836304.html,"Jul 25, 2023 ... 微信扫一扫：分享 · 政策原文 ○ 杭州市人民政府办公厅关于印发加快推进高端装备制造业高质量发展若干措施的通知 · 文字解读 ○ 关于《加快推进高端装备制造 ..."
关于印发国家技术转移示范机构管理办法的通知-中华人民共和国科学 ...,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/fgzc/gfxwj/gfxwj2010before/201712/t20171222_137075.html,"Sep 10, 2007 ... 第五条 技术转移机构的主要功能是促进知识流动和技术转移，其业务范围是： （一）对技术信息的搜集、筛选、分析、加工； （二）技术转让与技术代理； （三）技术集成 ..."
广东省科学技术厅关于开展2025年度技术转移人才培训工作的通知_ ...,http://gdstc.gd.gov.cn/zwgk_n/tzgg/content/post_4695699.html,"Apr 11, 2025 ... 报名中级技术经纪人班的人员，应按照《国家技术转移专业人员能力等级培训大纲》要求取得相应的初级技术经纪人资格；报名高级技术经理人班的学员，应按照《 ..."
第10届中国—东盟技术转移与创新合作大会在广西南宁开幕-中华人民 ...,https://www.most.gov.cn/kjbgz/202209/t20220921_182483.html,"Sep 21, 2022 ... 中国—东盟技术转移联盟正式成立，作为国内首个专门面向东盟的技术转移合作机制，该联盟将联合国内科技创新能力强、资源集中的省市创新机构，以更有效地满足 ..."
【我国新型智慧城市发展现状、形势与政策建议】-国家发展和改革 ...,https://www.ndrc.gov.cn/xxgk/jd/wsdwhfz/202005/t20200515_1228150.html,"May 15, 2020 ... 我国新型智慧城市发展现状、形势与政策建议 ... 智慧城市的概念自2008年提出以来，在国际上引起广泛关注，并持续引发了全球智慧城市的发展热潮。智慧城市已经 ..."
国家发展改革委国家数据局财政部自然资源部关于深化智慧城市发展 ...,https://www.gov.cn/zhengce/zhengceku/202405/content_6952353.htm,"May 14, 2024 ... 加快推动城市建筑、道路桥梁、园林绿地、地下管廊、水利水务、燃气热力、环境卫生等公共设施数字化改造、智能化运营，统筹部署泛在韧性的城市智能感知终端 ..."
【【专家观点】数字医疗拓展应用场景提升诊疗效果】-国家发展和 ...,https://www.ndrc.gov.cn/wsdwhfz/202307/t20230714_1358366.html,"Jul 14, 2023 ... 【专家观点】数字医疗拓展应用场景提升诊疗效果 ... 当今，新一代数字技术正在驱动和引领就医服务、临床医疗、健康咨询等数字化转型和智慧化升级，重塑传统 ..."
十部门关于印发加强工业互联网安全工作的指导意见的通知,https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202012/t20201207_374143.shtml,1.依法落实企业主体责任。工业互联网企业明确工业互联网安全责任部门和责任人，建立健全重点设备装置和系统平台联网前后的风险评估、安全审计等制度，建立安全事件报告和问责 ...
我省发布超高清视频产业发展行动计划- 四川省人民政府网站,https://www.sc.gov.cn/10462/10464/10797/2019/5/27/7f4cc4784b4249928bccc6a3343ff1d9.shtml,"May 27, 2019 ... 近日发布的《四川省超高清视频产业发展行动计划（2019-2022年）》提出，到2022年，我省超高清视频产业总体规模有望超过3500亿元。《行动计划》从核心关键 ..."
驻旧金山副总领事查立友出席2017智慧城市论坛及科技展开幕式,http://sanfrancisco.china-consulate.gov.cn/zlghd/201706/t20170606_4141679.htm,"Jun 6, 2017 ... ... 智慧城市建设。硅谷作为世界创新中心，在物联网、大数据、云计算、人工智能等相关领域引领全球科技创新,为全球智慧城市建设源源不断地提供科技创新资源。"
我省首批新型智慧城市示范城市名单公布- 四川省人民政府网站,https://www.sc.gov.cn/10462/10464/10797/2021/3/18/e55abb51c3144b3b8146b8c5f1a2efb7.shtml,"Mar 18, 2021 ... 去年以来，为统筹推进新型智慧城市建设，我省首次系统出台新型智慧城市建设相关政策文件。同时，各市（州）围绕“优政、惠民、兴业”总体建设目标和10大重点建设 ..."
《“十四五”国家信息化规划》专家谈：推进数字健康发展重塑管理服务 ...,http://www.cac.gov.cn/2022-04/16/c_1651725668733709.htm,"Apr 16, 2022 ... 2021年12月，中央网络安全和信息化委员会印发《“十四五”国家信息化规划》（以下简称《规划》），对我国“十四五”时期信息化发展作出部署安排，将“提供普惠数字 ..."
数字健康发展国际研讨会召开,http://www.nhc.gov.cn/cms-search/xxgk/getManuscriptXxgk.htm?id=1c5d4a75a99344828937213dc8e39094,"Nov 28, 2023 ... 国家卫生健康委统计信息中心高度重视国际交流工作，作为世界卫生组织卫生信息与信息学合作中心，围绕卫生健康数据治理、卫生健康信息化建设、数字健康发展 ..."
超高清视频标准体系建设指南,https://www.nrta.gov.cn/module/download/downfile.jsp?classid=0&filename=bf76a17826bf446ba1d8ecffe4dff29d.pdf,超高清视频的技术演进不仅催生了芯片、内容制播、显. 示、传输等产业各环节的升级换代，还驱动了广播电视、安. 防监控、教育医疗、工业制造等行业以视频为核心的服务转. 型 ...
关于印发《上海市“元宇宙”关键技术攻关行动方案（2023—2025年 ...,https://stcsm.sh.gov.cn/zwgk/ghjh/20230613/ddf9bf506da64e8cbdee86d6f1fc834c.html,"Jun 13, 2023 ... 鼓励园区、高质量孵化器为“元宇宙”企业提供高水平技术筛选、知识产权运营、创新链及产业链资源链接等服务，畅通“发现-转化-孵化-产业化”链条。加强投孵联动 ..."
《脑机接口研究伦理指引》和《人—非人动物嵌合体研究伦理指引 ...,https://www.most.gov.cn/kjbgz/202402/t20240202_189582.html,"Feb 2, 2024 ... 为促进脑机接口、人—非人动物嵌合体等领域的规范研究，国家科技伦理委员会人工智能伦理分委员会研究编制了《脑机接口研究伦理指引》，生命科学伦理分 ..."
2024“元宇宙理论与技术基础研究”专项项目申请指南（第II期）,https://www.nsfc.gov.cn/publish/portal0/tab442/info93729.htm,"Oct 24, 2024 ... 国家自然科学基金委员会信息科学部拟设立“元宇宙理论与技术基础研究”专项项目（第II期），旨在探索与发展元宇宙感知、仿真、交互、协作等基础理论与关键技术 ..."
